TRACTFIPS,STATE,COUNTY,POPULATION,RISK_SCORE,RISK_RATNG,hurricane_risk,flood_risk,tornado_risk,my_risk_score,my_risk_rating,RPL_THEMES
22099020602,Louisiana,St. Martin,2917,90.16315464015602,Relatively High,191195.57409559085,86.62313627953955,273.76484457399886,99.96973436834541,Relatively Moderate,0.4069
22099020800,Louisiana,St. Martin,2699,87.51367549826381,Relatively High,166728.03806345284,51.973592746190874,1208.4393572395265,99.96973365116143,Relatively Moderate,0.4714
22099020900,Louisiana,St. Martin,1667,79.75312752699423,Relatively Moderate,144316.80995245403,42.90774197115313,178.23485377737796,99.96976593572529,Relatively High,0.6114
22099021000,Louisiana,St. Martin,1368,98.5551538790848,Very High,225581.94240479797,11513644.253290057,3067.128015967279,99.97725390939445,Very High,0.3233
22101040100,Louisiana,St. Mary,2565,99.28411739523379,Very High,1019359.4361352404,5557604.338265171,1368.6718861539484,99.97298703013028,Very High,0.9355
22101040200,Louisiana,St. Mary,4737,99.57784331446511,Very High,1325456.1536722146,220660.72127978687,209.49649194286363,99.97003104811981,Very High,0.6437
22101040300,Louisiana,St. Mary,2908,97.99624221091186,Very High,917156.3557888304,160675.02740234503,88.11919787006427,99.97013218849776,Very High,0.8563
22101040400,Louisiana,St. Mary,3685,97.47538410312515,Very High,650696.8056236719,91967.74626949476,30.887509654956666,99.96991201463238,Very High,0.7779
22101040500,Louisiana,St. Mary,4796,99.3281168244304,Very High,1147888.2007717541,95878.23869369215,405.0381507473346,99.96996519969666,Very High,0.6884
22101040600,Louisiana,St. Mary,4218,98.72877324834705,Very High,982139.9664403122,86.36747615618707,318.7449230956166,99.96992599164194,Very High,0.6283
22101040700,Louisiana,St. Mary,3633,97.26133282595251,Very High,671722.9497254967,38.54911206372944,50.73743954499138,99.96989869102036,Very High,0.8299
22101040800,Louisiana,St. Mary,4748,98.9178518765162,Very High,1181024.0653224653,185316.52051424995,5776.8511160177695,99.96995089082795,Very High,0.4443
22101040900,Louisiana,St. Mary,2893,98.20791514056033,Very High,1942241.761344686,1524055.0219226386,6032.531790863256,99.970812273829,Very High,0.423
22101041000,Louisiana,St. Mary,3667,98.81082623792989,Very High,832373.7909269497,631218.3666919897,4898.374438508868,99.97007222085932,Very High,0.4963
22101041100,Louisiana,St. Mary,1469,98.30780573657422,Very High,896470.9103306533,4016121.202912224,2895.028226305815,99.97301097455258,Very High,0.4949
22101041200,Louisiana,St. Mary,1540,85.5681872235171,Relatively High,306554.44773348724,30799.500355758326,31.36120841674771,99.96989488128497,Very High,0.5191
22101041300,Louisiana,St. Mary,1922,95.10654996908147,Relatively High,347503.7083533925,38595.18313182792,68.13755225251525,99.96990951900197,Very High,0.7654
22101041400,Louisiana,St. Mary,3142,98.31969747419492,Very High,730143.7615701734,251663.91072210713,467.96548932192485,99.97003109480855,Very High,0.717
22101041500,Louisiana,St. Mary,1710,89.05484469390667,Relatively High,386866.19153275096,354620.1319159183,28.792379299140965,99.97006982269106,Very High,0.3717
22101041600,Louisiana,St. Mary,1680,92.46301669599961,Relatively High,276066.100706411,55.90534033283284,23.622915884460262,99.9698674047898,Very High,0.7742
22103040103,Louisiana,St. Tammany,4848,87.51962136707414,Relatively High,236370.3067426432,0.0,1202.7923418950963,99.96971936394917,Relatively Moderate,0.4289
22103040105,Louisiana,St. Tammany,5631,94.92817390477097,Relatively High,339972.099509561,0.0,2472.839583756282,99.96972597580044,Relatively Moderate,0.316
22103040106,Louisiana,St. Tammany,4155,80.9399229415402,Relatively Moderate,231127.9462609248,0.0,2805.538087638338,99.96971502547332,Relatively Moderate,0.132
22103040107,Louisiana,St. Tammany,3546,84.40041858916425,Relatively Moderate,213088.24591685648,0.0,1040.1000749933728,99.96973167215928,Relatively Moderate,0.4655
22103040108,Louisiana,St. Tammany,2877,76.15944441801837,Relatively Moderate,119264.1895371286,0.0,757.8262989727757,99.96971714042661,Relatively Moderate,0.5997
