TRACTFIPS,STATE,COUNTY,POPULATION,RISK_SCORE,RISK_RATNG,hurricane_risk,flood_risk,tornado_risk,my_risk_score,my_risk_rating,RPL_THEMES
51145500400,Virginia,Powhatan,5869,27.570993673595584,Relatively Low,9606.781268373532,0.0,1320.2393842380902,99.98693560465708,Relatively Low,0.2031
51147930101,Virginia,Prince Edward,3231,41.6757836655092,Relatively Low,11081.073728764115,0.0,37.730708022819556,99.98694005797829,Relatively Moderate,0.8445
51147930102,Virginia,Prince Edward,3391,45.835513485230464,Relatively Low,11928.067662736323,0.0,572.4719332707957,99.98693985518284,Relatively Moderate,0.7057
51147930202,Virginia,Prince Edward,3273,35.801265280882845,Relatively Low,10622.841359583445,0.0,510.26308624058856,99.98693948299237,Relatively Moderate,0.7422
51147930204,Virginia,Prince Edward,4691,64.32716548542074,Relatively Moderate,25888.128477924503,0.0,178.09652346433668,99.98694373800096,Relatively High,0.7756
51147930301,Virginia,Prince Edward,3187,34.60971317128859,Relatively Low,13408.393636755776,0.0,637.8511244175984,99.98694009305319,Relatively Moderate,0.4789
51147930302,Virginia,Prince Edward,3501,26.03814869428721,Very Low,9728.868103436935,0.0,463.0834791129633,99.9869377467567,Relatively Moderate,0.4553
51149850100,Virginia,Prince George,4842,60.675212862103415,Relatively Low,58213.50897009629,94329.07821201958,35.876965840836355,99.98699469392105,Very High,0.8487
51149850200,Virginia,Prince George,9965,64.5031632022071,Relatively Moderate,71780.81276349447,0.0,107.610073721737,99.98694578403567,Relatively High,0.6335
51149850301,Virginia,Prince George,7052,77.92655662845456,Relatively Moderate,120050.0469267287,2.681264041611181,181.58090719382335,99.98696514495086,Relatively High,0.7709
51149850302,Virginia,Prince George,4571,59.15663796793987,Relatively Low,74920.27834287284,268375.39388436574,178.51653799528148,99.98706272054434,Very High,0.6358
51149850400,Virginia,Prince George,5254,71.0888074965514,Relatively Moderate,105956.9715492545,144402.52091526773,1869.8788702825623,99.98699286043454,Very High,0.1814
51149850501,Virginia,Prince George,6086,69.2705608143462,Relatively Moderate,111602.3664831323,0.0,1208.7405165550929,99.98696012181682,Relatively High,0.3776
51149850502,Virginia,Prince George,5160,70.2492508205299,Relatively Moderate,112516.54345618522,0.0,451.0356317538999,99.98697062441335,Relatively High,0.6192
51153900100,Virginia,Prince William,3271,22.958188650525617,Very Low,32595.91373341726,27574.253531078124,30.314046441065983,99.98695619343935,Relatively High,0.1777
51153900201,Virginia,Prince William,2710,16.596109023450506,Very Low,8379.241682796004,7212.136175419478,6.163816476221754,99.98694489223871,Relatively High,0.8996
51153900202,Virginia,Prince William,4127,15.291585406459593,Very Low,7296.045445862804,0.0,6.368153611872089,99.98693614324479,Relatively Low,0.4794
51153900203,Virginia,Prince William,5392,34.251771868905486,Relatively Low,7184.211042388149,0.0,4.36936107137706,99.98693605669669,Relatively Low,0.9014
51153900301,Virginia,Prince William,3301,24.80616467678257,Very Low,12049.388330266402,20393.58859907071,9.169903792733418,99.98695145486406,Relatively High,0.7464
51153900302,Virginia,Prince William,6165,27.456832992436848,Relatively Low,11079.14858643436,0.0,15.177534848732527,99.98693679404512,Relatively Low,0.7987
51153900403,Virginia,Prince William,5550,69.13380583170813,Relatively Moderate,43443.79697752788,0.0,107.41601859389367,99.98694860855115,Relatively High,0.845
51153900404,Virginia,Prince William,5996,28.44027969366884,Relatively Low,10502.225345038416,0.0,11.356367993934569,99.98693688301053,Relatively Low,0.894
51153900407,Virginia,Prince William,6849,29.929125243780614,Relatively Low,10818.18006305249,0.0,9.558174020010204,99.98693642275754,Relatively Low,0.8237
51153900408,Virginia,Prince William,4700,10.804832802169052,Very Low,7238.293978465124,0.0,6.196146624298074,99.98693564509122,Relatively Low,0.391
51153900409,Virginia,Prince William,5517,22.841649621842745,Very Low,10848.025772221232,0.0,9.738542096115962,99.98693628688599,Relatively Low,0.3994
51153900410,Virginia,Prince William,5663,48.93212196166104,Relatively Low,22005.285958987595,7.6717282184231275,34.24021805696101,99.98694077131461,Relatively Moderate,0.8029
51153900502,Virginia,Prince William,4323,17.931551158255242,Very Low,9928.231115947548,0.0,9.054776366099277,99.98693717729722,Relatively Low,0.5664
51153900503,Virginia,Prince William,3368,30.199067687770537,Relatively Low,13147.858080217675,0.0,11.060046377500232,99.98694074382419,Relatively Moderate,0.7894
51153900504,Virginia,Prince William,5065,27.705370308709508,Relatively Low,7917.176857717276,0.0,6.8374588658549635,99.98693666525507,Relatively Low,0.9903
51153900601,Virginia,Prince William,3950,20.61432716548542,Very Low,6918.643538029043,0.6282348838838127,5.251289623153971,99.98693690130773,Relatively Low,0.9042
51153900602,Virginia,Prince William,4332,30.885220948484992,Relatively Low,6624.152922586759,2.5634996912012458,4.138122157489974,99.98693643001883,Relatively Low,0.888
51153900701,Virginia,Prince William,7608,39.48294724825192,Relatively Low,14313.388010754708,0.1976100113690565,15.289919325218136,99.98693702480989,Relatively Low,0.8348
51153900702,Virginia,Prince William,8118,49.37687294867526,Relatively Low,19175.872226560507,1099.8065250702105,29.242389939704157,99.98693789998137,Relatively Moderate,0.7145
51153900801,Virginia,Prince William,7324,35.73586072396899,Relatively Low,24417.185850479327,89681.8873760562,43.178490581934035,99.98695355379914,Relatively High,0.2295
51153900803,Virginia,Prince William,6016,23.09970032821196,Very Low,8259.34128021554,3.6563228898034e-05,5.70173431009635,99.9869360330186,Relatively Low,0.8288
51153900804,Virginia,Prince William,5370,16.047899919136185,Very Low,9511.605887278365,10322.403205025214,13.238979411619509,99.98693944452239,Relatively Moderate,0.5571
51153900901,Virginia,Prince William,6221,47.35289920563193,Relatively Low,14349.864878438668,1447.2315948062137,17.613351119176507,99.9869385781863,Relatively Moderate,0.9403
51153900904,Virginia,Prince William,6839,27.14883698806069,Very Low,18184.46051750659,1538.1038979806483,57.140408013511255,99.98693751502725,Relatively Low,0.3572
51153900905,Virginia,Prince William,5628,43.50473291157304,Relatively Low,16925.294941274053,12877.411766568874,29.18393470990248,99.98694280262153,Relatively High,0.6881
51153901005,Virginia,Prince William,6501,18.515435475431676,Very Low,18878.293100116465,0.0,33.233564343293935,99.98693661994268,Relatively Low,0.056
51153901009,Virginia,Prince William,7488,28.714978832707036,Relatively Low,21356.835724626748,0.0,33.23705113390155,99.98693660235661,Relatively Low,0.0694
51153901010,Virginia,Prince William,4416,12.784807116015791,Very Low,11699.035515174066,0.0,12.54010915061801,99.98693663111727,Relatively Low,0.162
51153901011,Virginia,Prince William,6654,23.64909860628835,Very Low,14942.367383322999,0.0,20.989630211176863,99.98693638201223,Relatively Low,0.2652
51153901012,Virginia,Prince William,3721,14.211815630499927,Very Low,10488.05455025101,0.0,16.597824599282987,99.98693738028207,Relatively Low,0.3443
51153901013,Virginia,Prince William,3494,16.21795176711221,Very Low,9398.867713844018,1.498167183158049,9.518180559959156,99.98693811660277,Relatively Moderate,0.6687
51153901014,Virginia,Prince William,3977,31.420349141416544,Relatively Low,14227.435416502825,79.95281776269313,229.34744664511666,99.98694012861574,Relatively Moderate,0.7658
51153901015,Virginia,Prince William,3726,23.035484945060173,Very Low,10358.179010834187,0.0,7.22735934333523,99.98693861712948,Relatively Moderate,0.7862
51153901016,Virginia,Prince William,5440,20.314655377443756,Very Low,9886.291609553009,0.0,11.59351353493041,99.98693653798694,Relatively Low,0.6451
51153901101,Virginia,Prince William,2128,11.062883508538269,Very Low,7801.37287524719,5854.007295760508,14.111658649174087,99.9869452465689,Relatively High,0.7552
51153901102,Virginia,Prince William,3459,25.724206821100697,Very Low,15774.864918685036,56.39746053484674,63.59912245093558,99.9869408711493,Relatively Moderate,0.5502
51153901203,Virginia,Prince William,4013,28.528278552062027,Relatively Low,10418.92702125514,0.0,13.115836381707531,99.98693828959716,Relatively Moderate,0.7922
51153901208,Virginia,Prince William,3116,33.539456785425486,Relatively Low,14576.474707884801,0.0,14.092438688972955,99.98694248093084,Relatively High,0.8459
51153901209,Virginia,Prince William,6645,34.09836845359844,Relatively Low,16091.376287101859,0.0,24.650965885698838,99.98693755969357,Relatively Low,0.6349
51153901211,Virginia,Prince William,4659,25.824097417114594,Very Low,12312.69692496076,0.0,10.267741369699541,99.98693809957375,Relatively Moderate,0.6927
51153901212,Virginia,Prince William,7978,44.19921038862199,Relatively Low,16228.352504760489,0.0,19.33569842989979,99.98693737764303,Relatively Low,0.8616
51153901219,Virginia,Prince William,5625,27.111972601436523,Very Low,26916.65907107475,0.0,200.1581068372585,99.98693851489747,Relatively Moderate,0.0139
51153901221,Virginia,Prince William,5615,23.30185986776388,Very Low,13509.861540417804,0.0,12.74466720279828,99.98693712242407,Relatively Low,0.4734
51153901222,Virginia,Prince William,2654,5.511820387194977,Very Low,5234.342829453602,0.0,3.11679025301327,99.9869363617097,Relatively Low,0.4317
51153901223,Virginia,Prince William,6777,34.42301289064358,Relatively Low,19284.921769978584,0.0,24.93314031460127,99.98693801187592,Relatively Moderate,0.5423
51153901224,Virginia,Prince William,4459,26.920515625743235,Very Low,16043.342565956986,0.0,19.41207063883422,99.98693819543897,Relatively Moderate,0.2684
51153901225,Virginia,Prince William,4875,26.302145269466777,Very Low,12257.908121170283,0.0,14.929026687328093,99.9869379392782,Relatively Moderate,0.7182
51153901226,Virginia,Prince William,6345,24.833515673310185,Very Low,15054.71865108416,0.0,20.116654984326296,99.98693663792488,Relatively Low,0.2999
51153901227,Virginia,Prince William,5282,22.48846501450792,Very Low,12747.022077039464,0.0,15.687659566854077,99.9869375093174,Relatively Low,0.621
51153901228,Virginia,Prince William,6336,22.511059315987254,Very Low,12858.909051975177,0.0,15.374478337917907,99.98693673149502,Relatively Low,0.5636
51153901229,Virginia,Prince William,3983,15.468772297008035,Very Low,11568.270262515694,0.0,11.932436952206569,99.98693737898505,Relatively Low,0.3045
51153901230,Virginia,Prince William,4419,13.99895352708938,Very Low,13079.54874689954,0.0,13.056881343472265,99.98693774064229,Relatively Moderate,0.3961
51153901231,Virginia,Prince William,7111,50.20691623460019,Relatively Low,27106.038216692927,0.0,160.5645130476194,99.98693956794472,Relatively Moderate,0.5354
51153901232,Virginia,Prince William,5839,31.102839746943825,Relatively Low,18582.29867666721,0.0,74.96751163135352,99.98693750667937,Relatively Low,0.2267
51153901233,Virginia,Prince William,7347,38.24501736193693,Relatively Low,26812.432445159295,0.0,128.08760562869762,99.98693831604874,Relatively Moderate,0.2795
51153901234,Virginia,Prince William,3385,19.96979498644342,Very Low,15858.415707749735,0.0,80.30008222630615,99.98693924717153,Relatively Moderate,0.1851
51153901235,Virginia,Prince William,3237,6.855586738334206,Very Low,11135.411638266243,0.0,16.690334446613345,99.98693703919584,Relatively Low,0.0074
51153901236,Virginia,Prince William,6496,24.491033629833996,Very Low,18047.172031562008,0.0,31.312701388135977,99.98693683213577,Relatively Low,0.1763
51153901237,Virginia,Prince William,3468,11.056937639727916,Very Low,7064.091704733033,0.0,3.96772980674941,99.98693665797116,Relatively Low,0.5243
51153901303,Virginia,Prince William,5107,17.873281643913806,Very Low,14535.701955142067,0.0,22.216858059445226,99.98693690213771,Relatively Low,0.1717
